"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-16","0.00","65","39"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-17","0.00","57","36"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-18","0.04","72","39"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-19","0.00","62","42"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-20","0.01","49","35"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-21","0.00","53","31"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-22","0.00","53","33"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-23","0.00","60","32"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-24","0.00","61","33"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-25","0.02","65","44"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-26","0.00","58","31"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-27","0.00","54","27"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-28","0.24","50","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-29","0.32","57","37"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-04-30","0.01","60","50"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-01","0.10","62","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-02","0.00","78","58"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-03","0.08","84","64"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-04","0.29","75","56"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-05","0.00","64","54"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-06","0.92","71","53"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-07","0.47","63","52"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-08","0.01","69","50"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-09","0.00","62","44"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-10","0.00","68","42"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-11","0.00","77","42"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-12","0.00","66","50"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-13","0.00","71","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-14","0.00","79","40"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-15","0.00","85","49"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-16","0.00","65","43"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-17","0.00","73","39"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-18","0.00","84","50"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-19","0.00","91","57"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-20","0.00","91","63"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-21","0.00","68","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-22","0.00","73","42"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-23","0.00","80","44"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-24","0.00","88","61"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-25","0.00","80","62"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-26","0.00","85","61"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-27","0.00","96","68"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-28","0.00","92","70"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-29","0.00","84","58"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-30","0.00","69","49"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-05-31","0.75","52","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-01","0.01","66","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-02","0.00","74","49"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-03","0.00","80","52"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-04","0.00","76","53"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-05","0.00","71","50"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-06","0.00","77","49"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-07","0.00","82","47"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-08","0.00","86","54"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-09","0.00","88","58"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-10","0.00","90","64"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-11","0.00","87","69"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-12","0.00","76","52"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-13","0.00","72","46"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-14","0.00","86","52"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-15","0.00","93","57"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-16","0.34","93","65"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-17","0.07","85","67"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-18","0.00","92","68"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-19","0.00","93","74"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-20","0.00","93","73"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-21","0.01","84","66"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-22","0.00","84","58"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-23","0.00","85","56"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-24","0.00","91","62"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-25","0.00","76","51"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-26","0.00","84","49"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-27","0.00","91","55"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-28","0.00","99","72"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-29","0.28","86","70"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-06-30","0.00","88","68"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-01","1.19",,
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-02","0.00","95","70"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-03","0.00","94","72"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-04","0.00","98","75"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-05","0.00","99","73"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-06","0.00","100","77"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-07","0.00","100","71"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-08","0.00","86","66"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-09","0.00","92","63"
"USW00094892","CHICAGO WEST CHICAGO DUPAGE AIRPORT, IL US","2012-07-10","0.00","84","60"
